date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:41	152005/152005	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2006:13:02%20GMT	https://wowtheme7.com/tf/logistick/logistick/index-3.html	C:/Users/khali/OneDrive/Desktop/Qaalib/wowtheme7.com/tf/logistick/logistick/index-3.html	(from )
12:03:42	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20May%202026%2009:03:42%20GMT	https://wowtheme7.com/robots.txt		(from )
12:03:42	706/706	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Nov%202024%2007:33:08%20GMT	https://wowtheme7.com/tf/logistick/logistick/assets/images/logo/favicon.png	C:/Users/khali/OneDrive/Desktop/Qaalib/wowtheme7.com/tf/logistick/logistick/assets/images/logo/favicon.png	(from https://wowtheme7.com/tf/logistick/logistick/index-3.html)
12:03:43	232760/232760	---M-Z	200	added ('OK')	text/css	date:Wed,%2030%20Oct%202024%2006:56:04%20GMT	https://wowtheme7.com/tf/logistick/logistick/assets/css/bootstrap.min.css	C:/Users/khali/OneDrive/Desktop/Qaalib/wowtheme7.com/tf/logistick/logistick/assets/css/bootstrap.min.css	(from https://wowtheme7.com/tf/logistick/logistick/index-3.html)
12:03:43	3059/3059	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Dec%202024%2009:47:40%20GMT	https://wowtheme7.com/tf/logistick/logistick/assets/css/satoshi.css	C:/Users/khali/OneDrive/Desktop/Qaalib/wowtheme7.com/tf/logistick/logistick/assets/css/satoshi.css	(from https://wowtheme7.com/tf/logistick/logistick/index-3.html)
12:03:43	18472/18472	---M-Z	200	added ('OK')	text/css	date:Sat,%2009%20Nov%202024%2010:25:46%20GMT	https://wowtheme7.com/tf/logistick/logistick/assets/css/swiper-bundle.min.css	C:/Users/khali/OneDrive/Desktop/Qaalib/wowtheme7.com/tf/logistick/logistick/assets/css/swiper-bundle.min.css	(from https://wowtheme7.com/tf/logistick/logistick/index-3.html)
12:03:43	28765/28765	---M-Z	200	added ('OK')	text/css	date:Sun,%2010%20Nov%202024%2004:00:42%20GMT	https://wowtheme7.com/tf/logistick/logistick/assets/css/aos.css	C:/Users/khali/OneDrive/Desktop/Qaalib/wowtheme7.com/tf/logistick/logistick/assets/css/aos.css	(from https://wowtheme7.com/tf/logistick/logistick/index-3.html)
12:03:44	519/519	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2002:57:02%20GMT	https://wowtheme7.com/tf/logistick/logistick/assets/css/animated-radial-progress.css	C:/Users/khali/OneDrive/Desktop/Qaalib/wowtheme7.com/tf/logistick/logistick/assets/css/animated-radial-progress.css	(from https://wowtheme7.com/tf/logistick/logistick/index-3.html)
12:03:44	9123/9123	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2010:43:54%20GMT	https://wowtheme7.com/tf/logistick/logistick/assets/css/magnific-popup.css	C:/Users/khali/OneDrive/Desktop/Qaalib/wowtheme7.com/tf/logistick/logistick/assets/css/magnific-popup.css	(from https://wowtheme7.com/tf/logistick/logistick/index-3.html)
12:03:44	165387/165387	---M-Z	200	added ('OK')	text/css	date:Sat,%2019%20Apr%202025%2010:59:22%20GMT	https://wowtheme7.com/tf/logistick/logistick/assets/css/main.css	C:/Users/khali/OneDrive/Desktop/Qaalib/wowtheme7.com/tf/logistick/logistick/assets/css/main.css	(from https://wowtheme7.com/tf/logistick/logistick/index-3.html)
